name_en,name_sp,description_en,description_sp,base_price,attributes,view_count,purchase_count,preview_image_key,created_at,updated_at
"Gentle Girl","Chica Gentil","Light nude and soft pastel blue base with white abstract French tips and a delicate 3D flower with a gold centre. This set embodies pure innocence and grace. The soft color palette and central 3D flower create a look of sweet, gentle, and angelic beauty.","Base nude clara y azul pastel suave con puntas francesas abstractas blancas y una delicada flor 3D con un centro dorado. Este set encarna la pura inocencia y gracia. La paleta de colores suaves y la flor 3D central crean una apariencia de belleza dulce, gentil y angelical.",40.00,,,,,gentle-girl.jpg,,
"Glossy Pearls","Perlas Brillantes","Warm nude-pink base outlined with stunning gold chrome borders and pearl french for a sophisticated, modern metallic look. These are the ultimate glow-up nails. Adorn your hands with liquid gold and luminous pearls for a design guaranteed to turn heads.","Cálida base nude-rosa delineada con impresionantes bordes de cromo dorado y un francés de perlas para un look metálico moderno y sofisticado. Estas son las uñas definitivas para un 'glow-up'. Adorna tus manos con oro líquido y perlas luminosas para un diseño que garantiza atraer miradas.",40.00,,,,,glossy-pearls.jpg,,
"Glossy Petal","Pétalo Brillante","Rich, glossy plum and nude-pink base nails accented with stunning gold crescent moons and tiny star jewels. A mystical and stylish set for the modern mystic. The deep plum and sparkling gold accents create a captivating and enchanting vibe.","Uñas con base en ciruela brillante y nude-rosa, acentuadas con impresionantes lunas crecientes doradas y diminutas joyas de estrellas. Un set místico y elegante para la mística moderna. El profundo color ciruela y los brillantes detalles dorados crean una vibra cautivadora y encantadora.",40.00,,,,,glossy-petal.jpg,,
"Goldy Star","Estrella Dorada","Pink base with a bold, chunky gold foil French tip and an accent nail featuring a central gold starburst jewel. Luxurious and bright, this set makes a bold statement. The chunky gold foil and brilliant starburst radiate confidence and glamour.","Base rosa con una audaz y gruesa punta francesa de lámina dorada y una uña de acento con una joya central en forma de estrella dorada. Lujoso y brillante, este set hace una declaración audaz. La gruesa lámina dorada y la brillante estrella irradian confianza y glamour.",40.00,,,,,goldy-star.jpg,,
"Gothic Vamp","Vampiresa Gótica","A rich, dark red base with a cracked or textured metallic foil effect, giving a mysterious, striking depth. Perfect for a gothic-chic aesthetic. Unleash your inner vampire with this seductive design, where the textured foil mimics ancient, cracked velvet for a truly unique look.","Una rica base de rojo oscuro con un efecto de lámina metálica agrietada o texturizada, que da una profundidad misteriosa e impactante. Perfecto para una estética gótica-chic. Libera a tu vampiro interior con este diseño seductor, donde la lámina texturizada imita un terciopelo antiguo y agrietado para un look verdaderamente único.",40.00,,,,,gothic-vamp.jpg,,
"Hawaii Tropics","Trópicos de Hawái","Bold red, yellow ombre, and nude nails featuring intricate 3D sculpted flowers and delicate gold accents. A vibrant artistic masterpiece. Escape to a tropical paradise, as the stunning 3D flowers are sculpted by hand, making each nail a wearable piece of art.","Uñas en degradado rojo y amarillo audaz, y nude, con intrincadas flores esculpidas en 3D y delicados detalles dorados. Una obra maestra artística y vibrante. Escápate a un paraíso tropical, ya que las impresionantes flores 3D están esculpidas a mano, haciendo de cada uña una obra de arte portátil.",40.00,,,,,hawaii-tropics.jpg,,
"Metalic Baby","Bebé Metálico","Intricately sculpted silver chrome and soft pink designs, featuring delicate 3D bows, flowing liquid metal effects, and shimmering jewels. This set is pure fairytale luxury. The combination of liquid-like chrome and soft bows creates a stunning futuristic fantasy look.","Diseños intrincadamente esculpidos en cromo plateado y rosa suave, con delicados lazos 3D, efectos de metal líquido fluido y joyas brillantes. Este set es puro lujo de cuento de hadas. La combinación de cromo líquido y lazos suaves crea un impresionante look de fantasía futurista.",40.00,,,,,metalic-baby.jpg,,
"Red Velvet","Terciopelo Rojo","High-shine, deep cherry red nails, with two accent nails featuring a subtle red and gold-flaked abstract swirl design. The definition of timeless glamour. This is the perfect classic red manicure, with gold-flaked accent nails adding a touch of warmth and opulence.","Uñas de un rojo cereza profundo y de alto brillo, con dos uñas de acento que presentan un sutil diseño de remolino abstracto en rojo y escamas doradas. La definición del glamour atemporal. Esta es la manicura roja clásica perfecta, con uñas de acento en escamas doradas que añaden un toque de calidez y opulencia.",40.00,,,,,red-velvet.jpg,,
"Scream Set","Set Scream","Shocking pink base contrasted with black and red geometric and graphic “Scream” character art. A vibrant, edgy, and halloween design. This set is a bold, graphic tribute to a cult classic, perfect for any day you feel daring.","Base de rosa impactante contrastada con arte geométrico y gráfico del personaje de “Scream” en negro y rojo. Un diseño vibrante, vanguardista y de halloween. Este set es un tributo audaz y gráfico a un clásico de culto, perfecto para cualquier día en que te sientas atrevido.",40.00,,,,,scream-set.jpg,,
"Spring Floral","Floral de Primavera","Terracotta nude base with a striking teal blue French tip and graphic white flowers designs. A bold, modern, geometric statement. The unique color combination of terracotta and teal, paired with clean graphic lines, makes this fresh take on floral truly stand out.","Base nude terracota con una llamativa punta francesa en azul verdoso y diseños gráficos de flores blancas. Una declaración audaz, moderna y geométrica. La combinación de colores única de terracota y azul verdoso, junto con líneas gráficas limpias, hace que esta nueva versión de lo floral realmente destaque.",40.00,,,,,spring-floral.jpg,,
"Totoro Anime","Anime Totoro","A unique, artistic mix of deep green marble, abstract shapes, white gems, and charmingly painted woodland “Totoro” characters. Truly one-of-a-kind. This whimsical set captures the magic of the forest with beloved characters and artistic details.","Una mezcla artística única de mármol verde oscuro, formas abstractas, gemas blancas y encantadores personajes del bosque “Totoro” pintados. Verdaderamente único en su clase. Este set caprichoso captura la magia del bosque con personajes queridos y detalles artísticos.",40.00,,,,,totoro-anime.jpg,,
"Custom Keychains","Llaveros Personalizados","Stunning, hand-painted mini stiletto nail keychains are the perfect accessory. The examples shown are ready-to-ship, but we gladly accept custom orders! Send us your favorite nail art idea or design, and we will create a unique, personalized charm just for you. Take your favorite nail art everywhere!","Impresionantes llaveros de mini uñas stiletto pintados a mano son el accesorio perfecto. ¡Los ejemplos mostrados están listos para enviar, pero aceptamos con gusto pedidos personalizados! Envíanos tu idea o diseño de arte de uñas favorito, y crearemos un amuleto único y personalizado solo para ti. ¡Lleva tu arte de uñas favorito a todas partes!",10.00,,,,,custom-keychains.jpg,,
